"Email archive of President Sullivan's message on 2014/11/19 to University community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted).",http://takeback.scholarslab.org/admin/items/show/459
"""UVA Gang Rape Allegations Are Awful, Horrifying, and Not Shocking at All""",http://takeback.scholarslab.org/admin/items/show/63
Cavalier Daily: BOV Holds Special Meeting to Address Sexual Assault,http://takeback.scholarslab.org/admin/items/show/id/397
"BOV special meeting- Nov. 25, 2014",
"""UVA consultant: College a model for sexual assault response""",http://takeback.scholarslab.org/admin/items/show/66
"""U. of Mary Washington Shelves Plans for Greek System""",http://takeback.scholarslab.org/admin/items/show/76
"""Rolling Stone Cites Doubts on Its Story of University of Virginia Rape""",http://takeback.scholarslab.org/admin/items/show/86
"Another BOV special meeting to discuss Rolling Stone article- Dec. 19, 2014",
"Cavalier Daily: Semester in Review: Sexual Assault Prevention Policy, Advocacy Efforts",http://takeback.scholarslab.org/admin/items/show/id/398
Cavalier Daily: University Will Administer Sexual Assault Climate Survey,http://takeback.scholarslab.org/admin/items/show/id/373
"Text of Teresa Sullivan's ""Presidential Address on the University""",http://takeback.scholarslab.org/admin/items/show/135
Cavalier Daily: Sexual Assault Bill Leaves Much to be Desired,http://takeback.scholarslab.org/admin/items/show/id/384
Cavalier Daily: McAuliffe's Sexual Assault Task Force to Give Official Recommendations,http://takeback.scholarslab.org/admin/items/show/id/412
"BOV minutes- March 24-25, 2015",
Women’s Center introduces Gender Violence and Social Change Coordinator,http://takeback.scholarslab.org/admin/items/show/601
"Women’s Center announces new full-time counselor, thanks U.Va. for funding",http://takeback.scholarslab.org/admin/items/show/602
"BOV minutes- June 11-12, 2015",
President Sullivan's email address on new Sexual Assault Policy,http://takeback.scholarslab.org/admin/items/show/id/376
"BOV minutes Sept. 17-18, 2015",
"BOV minutes Nov. 12-13, 2015",
"Email from UVA Pres. Teresa Sullivan, Nov. 22, 2015, to university community re: Rolling Stone article",http://takeback.scholarslab.org/admin/items/show/34
"Rape survivor recalls past attack, emotions",http://takeback.scholarslab.org/admin/items/show/551
